2026-09-20 14:48:33.723 | INFO     | logging:callHandlers:1706 | HTTP Request: GET http://localhost:8080/health "HTTP/1.1 503 Service Unavailable"
2026-09-20 14:48:33.724 | DEBUG    | logging:callHandlers:1706 | receive_response_body.started request=<Request [b'GET']>
2026-09-20 14:48:33.725 | DEBUG    | logging:callHandlers:1706 | receive_response_body.complete
2026-09-20 14:48:33.726 | DEBUG    | logging:callHandlers:1706 | response_closed.started
2026-09-20 14:48:33.730 | DEBUG    | logging:callHandlers:1706 | response_closed.complete
2026-09-20 14:48:33.972 | DEBUG    | logging:callHandlers:1706 | connect_tcp.started host='localhost' port=8080 local_address=None timeout=2 socket_options=None
2026-09-20 14:48:34.231 | DEBUG    | logging:callHandlers:1706 | connect_tcp.complete return_value=<httpcore._backends.anyio.AnyIOStream object at 0x00000204D2676550>
2026-09-20 14:48:34.232 | DEBUG    | logging:callHandlers:1706 | send_request_headers.started request=<Request [b'GET']>
2026-09-20 14:48:34.233 | DEBUG    | logging:callHandlers:1706 | send_request_headers.complete
2026-09-20 14:48:34.235 | DEBUG    | logging:callHandlers:1706 | send_request_body.started request=<Request [b'GET']>
2026-09-20 14:48:34.236 | DEBUG    | logging:callHandlers:1706 | send_request_body.complete
2026-09-20 14:48:34.237 | DEBUG    | logging:callHandlers:1706 | receive_response_headers.started request=<Request [b'GET']>
2026-09-20 14:48:34.240 | DEBUG    | logging:callHandlers:1706 | receive_response_headers.complete return_value=(b'HTTP/1.1', 503, b'Service Unavailable', [(b'Server', b'llama.cpp'), (b'Access-Control-Allow-Origin', b''), (b'Content-Type', b'application/json; charset=utf-8'), (b'Content-Length', b'75'), (b'Connection', b'close')])
2026-09-20 14:48:34.240 | INFO     | logging:callHandlers:1706 | HTTP Request: GET http://localhost:8080/health "HTTP/1.1 503 Service Unavailable"
2026-09-20 14:48:34.243 | DEBUG    | logging:callHandlers:1706 | receive_response_body.started request=<Request [b'GET']>
2026-09-20 14:48:34.244 | DEBUG    | logging:callHandlers:1706 | receive_response_body.complete
2026-09-20 14:48:34.246 | DEBUG    | logging:callHandlers:1706 | response_closed.started
